label	observed	mean_expected	enrichment	p_value
MP: decreased DN4 thymocyte number MP:0010136	3	0.2777	10.803024846957149	0.001909980900190998
MP: chylous ascites MP:0012080	3	0.39421	7.610157022906573	0.005449945500544995
MP: increased urine glycosaminoglycan level MP:0011473	2	0.15806	12.653422750854105	0.008789912100878991
MP: abnormal synaptic vesicle recycling MP:0004770	3	0.4568	6.567425569176883	0.00896991030089699
MP: increased central memory CD8 positive, alpha-beta T cell number MP:0010847	4	0.89703	4.459159671359933	0.01093989060109399
MP: spinal hemorrhage MP:0006054	3	0.49496	6.06109584612898	0.01108988910110899
MP: reduced fertility MP:0001921	11	4.88347	2.2524966878060066	0.01123988760112399
MP: small tail bud MP:0012062	2	0.17912	11.165698972755694	0.011379886201137989
MP: increased B-1 B cell number MP:0004977	4	0.91644	4.364715638776134	0.014009859901400986
MP: abnormal suckling behavior MP:0001436	8	3.12785	2.55766740732452	0.015389846101538984
MP: increased macrophage cytokine production MP:0011078	2	0.21889	9.137009456804789	0.01782982170178298
MP: abnormal nucleotide metabolism MP:0003806	3	0.57602	5.208152494705045	0.017839821601783983
MP: abnormal CD8-positive, alpha-beta T cell differentiation MP:0008080	4	1.00037	3.998520547397463	0.018289817101828983
MP: skeletal muscle degeneration MP:0009415	2	0.23986	8.338197281747686	0.02102978970210298
MP: lymphatic vessel hyperplasia MP:0004106	2	0.23784	8.409014463504878	0.021409785902140977
MP: increased lung elastance MP:0011044	2	0.25953	7.706238199822757	0.024609753902460976
MP: increased effector memory CD4-positive, alpha-beta T cell number MP:0010844	4	1.13657	3.519360884063454	0.025079749202507974
MP: increased effector memory CD8-positive, alpha-beta T cell number MP:0010850	4	1.17329	3.409216817666562	0.027049729502704973
MP: decreased body mass index MP:0006086	3	0.69432	4.320774282751469	0.029399706002939972
MP: abnormal granulocyte differentiation MP:0008111	3	0.6945	4.319654427645788	0.029399706002939972
MP: abnormal leukocyte morphology MP:0008246	3	0.71525	4.194337644180356	0.031879681203187966
MP: decreased cellular hemoglobin content MP:0008956	2	0.29978	6.671559143371806	0.03288967110328897
MP: decreased DN2 thymocyte number MP:0010132	2	0.29695	6.735140596059943	0.03316966830331697
MP: abnormal leukopoiesis MP:0005460	2	0.3009	6.6467264872050515	0.03352966470335297
MP: increased DN3 thymocyte number MP:0010133	2	0.2986	6.697923643670463	0.033579664203357965
MP: decreased corpora lutea number MP:0002680	3	0.75158	3.9915910481918093	0.03593964060359396
MP: abnormal plasma membrane morphology MP:0003950	2	0.31584	6.332320162107396	0.03689963100368996
MP: abnormal mast cell physiology MP:0002423	4	1.17129	3.4150381203630187	0.03870961290387096
MP: abnormal lymph organ development MP:0002450	2	0.33555	5.960363582178513	0.04151958480415196
MP: hemolysis MP:0010163	2	0.34152	5.856172405715625	0.04187958120418796
MP: abnormal surfactant physiology MP:0004782	2	0.3364	5.9453032104637344	0.04189958100418996
MP: increased erythrocyte protoporphyrin level MP:0011188	2	0.33782	5.920312592504884	0.04255957440425596
MP: increased satellite cell number MP:0000730	2	0.34117	5.86218014479585	0.04270957290427096
MP: thymus hyperplasia MP:0000708	3	0.79721	3.763123894582356	0.04345956540434596
MP: abnormal phrenic nerve morphology MP:0001078	3	0.71758	4.180718526157362	0.04437955620443795
MP: increased urine microalbumin level MP:0002959	2	0.35834	5.581291510855612	0.046129538704612956
MP: increased erythrocyte clearance MP:0010035	2	0.35764	5.5922156358349175	0.046939530604693955
MP: decreased transitional stage B cell number MP:0008190	3	0.83687	3.5847861675051083	0.04792952070479295
MP: increased thymocyte apoptosis MP:0009541	3	0.84575	3.5471475022169674	0.05023949760502395
MP: decreased CD8-positive, naive alpha-beta T cell number MP:0013435	4	1.4297	2.7977897461005807	0.05092949070509295
MP: reduced cerebellar foliation MP:0009719	3	0.86973	3.44934634886689	0.052439475605243945
MP: abnormal osteoclast differentiation MP:0008396	6	2.64833	2.2655786854357274	0.05457945420545795
MP: caudal vertebral fusion MP:0004619	2	0.41556	4.812782750986621	0.06222937770622294
MP: abnormal sperm motility MP:0002674	3	0.93333	3.21429719391855	0.06251937480625194
MP: decreased adipocyte glucose uptake MP:0030017	2	0.41675	4.799040191961607	0.06338936610633894
MP: cerebellum vermis hypoplasia MP:0000866	2	0.3377	5.922416345869115	0.06347936520634793
MP: decreased ovulation rate MP:0003355	3	0.93392	3.2122665752955286	0.06402935970640293
MP: abnormal cerebral cortex pyramidal cell morphology MP:0009969	3	0.91249	3.287707262545343	0.06414935850641494
MP: increased variability of skeletal muscle fiber size MP:0009403	4	1.54534	2.5884271422470135	0.06474935250647494
MP: abnormal T cell differentiation MP:0002145	7	3.45114	2.0283152813273295	0.06484935150648494
MP: abnormal pilomotor reflex MP:0001492	2	0.39659	5.042991502559318	0.06555934440655593
MP: abnormal synaptic plasticity MP:0004859	3	0.89351	3.3575449631229644	0.06662933370666294
MP: ascites MP:0005324	2	0.43559	4.59147363346266	0.06716932830671693
MP: abnormal NK cell differentiation MP:0008053	2	0.4023	4.9714143673875215	0.06718932810671893
MP: abnormal superovulation MP:0009648	2	0.4385	4.561003420752566	0.06847931520684793
MP: decreased mast cell degranulation MP:0008765	2	0.43823	4.563813522579467	0.06889931100688994
MP: abnormal nociception after inflammation MP:0002736	4	1.58218	2.5281573525136207	0.06973930260697393
