label	observed	mean_expected	enrichment	p_value
HPO: Amniotic constriction ring (HP:0009775)	3	0.31957	9.387614607128327	0.00948990510094899
HPO: Abnormality of placental membranes (HP:0011409)	3	0.31957	9.387614607128327	0.00948990510094899
HPO: Fetal akinesia sequence (HP:0001989)	3	0.35913	8.353521009105338	0.01147988520114799
HPO: Lymphedema (HP:0001004)	4	1.03695	3.857466608804667	0.018179818201817983
HPO: Aplasia/Hypoplasia involving the musculature (HP:0001460)	3	0.43874	6.837762684049778	0.01886981130188698
HPO: Abnormality of the pleura (HP:0002103)	4	0.99586	4.016628843411724	0.02021979780202198
HPO: Rib fusion (HP:0000902)	2	0.23866	8.380122349786307	0.021339786602133978
HPO: Pterygium (HP:0001059)	3	0.63212	4.745934316269063	0.03138968610313897
HPO: Cutaneous finger syndactyly (HP:0010554)	3	0.73404	4.086970737289521	0.03370966290337097
HPO: Abnormalities of placenta or umbilical cord (HP:0001194)	3	0.69557	4.313009474244145	0.03973960260397396
HPO: Lymphangioma (HP:0100764)	2	0.33909	5.898139137102244	0.042019579804201956
HPO: Cutaneous syndactyly (HP:0012725)	3	0.83482	3.593589037157711	0.04773952260477395
HPO: Vertebral fusion (HP:0002948)	3	0.81791	3.667885219645193	0.05381946180538195
HPO: Poikilocytosis (HP:0004447)	3	0.81834	3.6659579148031383	0.054099459005409946
HPO: Ventricular fibrillation (HP:0001663)	2	0.35706	5.601299501484345	0.05697943020569794
HPO: Popliteal pterygium (HP:0009756)	2	0.33447	5.9796095314975934	0.06304936950630494
HPO: Akinesia (HP:0002304)	2	0.33808	5.915759583530526	0.06399936000639994
HPO: Aplasia of the musculature (HP:0100854)	2	0.28022	7.137249304118193	0.06819931800681993
HPO: Thickened helices (HP:0000391)	2	0.43828	4.563292872136533	0.06819931800681993
HPO: Webbed neck (HP:0000465)	4	1.47254	2.716394800820351	0.07392926070739293
HPO: Gowers sign (HP:0003391)	3	1.04134	2.880903451322335	0.08319916800831992
HPO: Ectopic anus (HP:0004397)	3	1.01356	2.9598642408934843	0.08484915150848492
HPO: Abnormality of the tricuspid valve (HP:0001702)	2	0.52273	3.8260669944330723	0.08558914410855892
HPO: Dislocated radial head (HP:0003083)	2	0.49779	4.017758492537014	0.08750912490875092
HPO: Long palpebral fissure (HP:0000637)	2	0.51855	3.8569086876868193	0.09236907630923691
HPO: Downturned corners of mouth (HP:0002714)	4	1.60854	2.486727094135054	0.0928990710092899
HPO: Abnormality of the labia majora (HP:0012881)	2	0.51943	3.8503744489151575	0.0929190708092919
HPO: Increased number of teeth (HP:0011069)	2	0.51828	3.858917959404183	0.0987190128098719
HPO: Arthrogryposis multiplex congenita (HP:0002804)	4	1.72616	2.3172822913287296	0.0996990030099699
HPO: Abnormality of the radial head (HP:0003995)	2	0.53824	3.715814506539833	0.0998590014099859
HPO: Hypoplastic heart (HP:0001961)	2	0.49528	4.038119851397189	0.1006589934100659
HPO: Muscular dystrophy (HP:0003560)	3	1.16492	2.575284139683412	0.11237887621123789
HPO: Thin ribs (HP:0000883)	2	0.55589	3.5978341038694706	0.11554884451155488
HPO: Cellulitis (HP:0100658)	2	0.5967	3.3517680576504105	0.11730882691173088
