label	observed	mean_expected	enrichment	p_value
BP: positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904925)	2	0.15845	12.622278321236983	0.007839921600783992
BP: regulation of phosphatidylinositol biosynthetic process (GO:0010511)	2	0.15979	12.516427811502599	0.008919910800891991
BP: negative regulation of sequestering of calcium ion (GO:0051283)	4	0.97398	4.106860510482762	0.01905980940190598
BP: positive regulation of long-term synaptic depression (GO:1900454)	2	0.25757	7.764879450246534	0.022669773302266976
BP: release of sequestered calcium ion into cytosol (GO:0051209)	4	1.03287	3.8727042125340074	0.023059769402305978
BP: positive regulation of phospholipid biosynthetic process (GO:0071073)	2	0.26151	7.64789109403082	0.024769752302476977
BP: mRNA transcription by RNA polymerase II (GO:0042789)	2	0.26017	7.687281392935388	0.025139748602513976
BP: membrane repolarization during ventricular cardiac muscle cell action potential (GO:0098915)	2	0.17835	11.2139052425007	0.027129728702712973
BP: positive regulation of catabolic process (GO:0009896)	6	2.24275	2.675287036004905	0.02717972820271797
BP: oligosaccharide metabolic process (GO:0009311)	5	1.4685	3.404834865509023	0.027539724602753973
BP: negative regulation of CD4-positive, alpha-beta T cell activation (GO:2000515)	2	0.27933	7.159989976014033	0.02912970870291297
BP: regulation of nuclear cell cycle DNA replication (GO:0033262)	2	0.27781	7.199164896871963	0.02929970700292997
BP: positive regulation of mast cell degranulation (GO:0043306)	2	0.27954	7.154611146884166	0.029619703802961972
BP: calcium ion transmembrane import into cytosol (GO:0097553)	5	1.64582	3.0379992951841635	0.02981970180298197
BP: DNA catabolic process, endonucleolytic (GO:0000737)	3	0.69537	4.314249967643125	0.03030969690303097
BP: aspartate family amino acid biosynthetic process (GO:0009067)	2	0.29663	6.742406364831608	0.03144968550314497
BP: regulation of vesicle-mediated transport (GO:0060627)	7	3.02421	2.314654074948499	0.03221967780322197
BP: nucleotide phosphorylation (GO:0046939)	2	0.29931	6.68203534796699	0.03301966980330197
BP: purine nucleotide metabolic process (GO:0006163)	3	0.73933	4.05772794286719	0.033129668703312964
BP: plasma membrane organization (GO:0007009)	6	2.06812	2.9011856178558304	0.03412965870341297
BP: cellular response to prostaglandin E stimulus (GO:0071380)	2	0.23709	8.43561516723607	0.03449965500344997
BP: G protein-coupled serotonin receptor signaling pathway (GO:0098664)	2	0.3155	6.3391442155309035	0.03638963610363896
BP: regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902108)	2	0.31756	6.298022420959819	0.03652963470365296
BP: replication fork protection (GO:0048478)	2	0.31665	6.316121901152693	0.036959630403695966
BP: purine nucleotide biosynthetic process (GO:0006164)	2	0.32132	6.224324660774306	0.03811961880381196
BP: glycerol ether metabolic process (GO:0006662)	1	0.03937	25.4000508001016	0.03937960620393796
BP: plasma membrane phospholipid scrambling (GO:0017121)	4	0.27846	14.364720247073189	0.04001959980400196
BP: negative regulation of organelle organization (GO:0010639)	1	0.04102	24.378352023403217	0.04067959320406796
BP: positive regulation of amino acid transport (GO:0051957)	2	0.12242	16.337199803953602	0.04071959280407196
BP: natural killer cell differentiation (GO:0001779)	2	0.34021	5.878721965844625	0.041869581304186956
BP: nucleoside triphosphate biosynthetic process (GO:0009142)	2	0.339	5.899705014749262	0.04221957780422196
BP: positive regulation of anion transmembrane transport (GO:1903961)	2	0.16092	12.428535918468803	0.04221957780422196
BP: tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	2	0.34082	5.868200222991608	0.043419565804341954
BP: 5S class rRNA transcription by RNA polymerase III (GO:0042791)	2	0.19775	10.11378002528445	0.04352956470435296
BP: regulation of cellular amino acid metabolic process (GO:0006521)	5	1.73537	2.8812299394365466	0.044169558304416955
BP: positive regulation of synaptic transmission (GO:0050806)	6	2.50736	2.392955140067641	0.04437955620443795
BP: positive regulation of amine transport (GO:0051954)	2	0.2005	9.97506234413965	0.044999550004499955
BP: regulation of long-term synaptic depression (GO:1900452)	2	0.35895	5.571806658308957	0.04571954280457195
BP: ganglioside metabolic process (GO:0001573)	3	0.69837	4.295717169981528	0.045809541904580954
BP: nucleoside diphosphate phosphorylation (GO:0006165)	2	0.35942	5.564520616548884	0.04659953400465995
BP: regulation of antigen receptor-mediated signaling pathway (GO:0050854)	2	0.35853	5.578333751708365	0.04712952870471295
BP: regulation of amyloid precursor protein biosynthetic process (GO:0042984)	2	0.35998	5.555864214678593	0.04734952650473495
BP: amino-acid betaine metabolic process (GO:0006577)	2	0.23665	8.451299387280795	0.04755952440475595
BP: tRNA transcription by RNA polymerase III (GO:0042797)	2	0.23731	8.427794867472926	0.047979520204797954
BP: tRNA transcription (GO:0009304)	2	0.23731	8.427794867472926	0.047979520204797954
BP: choline catabolic process (GO:0042426)	2	0.25409	7.871226730685978	0.04928950710492895
BP: regulation of protein catabolic process (GO:0042176)	7	3.32306	2.1064922089881013	0.05030949690503095
BP: nucleotide metabolic process (GO:0009117)	3	0.85501	3.5087308920363505	0.05092949070509295
BP: negative regulation of delayed rectifier potassium channel activity (GO:1902260)	2	0.33921	5.896052592789127	0.05174948250517495
BP: columnar/cuboidal epithelial cell differentiation (GO:0002065)	2	0.37856	5.283178360101437	0.05181948180518195
BP: ventricular cardiac muscle cell membrane repolarization (GO:0099625)	2	0.33627	5.947601629642846	0.051859481405185946
BP: copper ion transport (GO:0006825)	2	0.37923	5.273844368852675	0.05309946900530995
BP: RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)	2	0.38075	5.252790544977019	0.05315946840531595
BP: regulation of water loss via skin (GO:0033561)	3	0.61166	4.904685609652422	0.053719462805371945
BP: establishment of skin barrier (GO:0061436)	3	0.61166	4.904685609652422	0.053719462805371945
BP: regulation of cell activation (GO:0050865)	2	0.27762	7.204091924212953	0.054229457705422944
BP: L-methionine salvage (GO:0071267)	2	0.29783	6.715240237719505	0.05537944620553795
BP: positive regulation of cell junction assembly (GO:1901890)	5	2.1135	2.365744026496333	0.05571944280557194
BP: sulfur amino acid metabolic process (GO:0000096)	3	0.73737	4.068513771919118	0.05598944010559894
BP: transcription by RNA polymerase III (GO:0006383)	3	0.83803	3.579824111308664	0.05748942510574894
BP: mRNA transcription (GO:0009299)	2	0.39896	5.013033888109084	0.05762942370576294
BP: positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	3	0.87387	3.43300490919702	0.05828941710582894
BP: phospholipid translocation (GO:0045332)	4	1.14867	3.4822882115838314	0.058719412805871944
BP: cellular response to unfolded protein (GO:0034620)	3	0.81583	3.677236679210129	0.05921940780592194
BP: negative regulation of voltage-gated potassium channel activity (GO:1903817)	2	0.37904	5.276487969607429	0.061029389706102936
BP: regulation of transmembrane transporter activity (GO:0022898)	2	0.34047	5.87423267835639	0.06496935030649693
BP: oligosaccharide biosynthetic process (GO:0009312)	3	0.81085	3.69982117530986	0.06506934930650693
BP: protein kinase C-activating G protein-coupled receptor signaling pathway (GO:0007205)	2	0.43798	4.56641855792502	0.06620933790662094
BP: somite development (GO:0061053)	2	0.43747	4.571742062312844	0.06712932870671293
BP: cellular biogenic amine catabolic process (GO:0042402)	2	0.37265	5.366966322286328	0.06980930190698093
BP: cellular response to topologically incorrect protein (GO:0035967)	3	0.8979	3.341129301703976	0.07079929200707993
BP: carbohydrate biosynthetic process (GO:0016051)	3	0.87173	3.4414325536576693	0.07307926920730792
BP: organelle fission (GO:0048285)	3	0.95739	3.133519255475825	0.07571924280757192
BP: positive regulation of cation transmembrane transport (GO:1904064)	4	1.49189	2.681162820315171	0.07643923560764393
BP: lipid phosphorylation (GO:0046834)	2	0.47461	4.21398622026506	0.07681923180768192
BP: vesicle localization (GO:0051648)	1	0.07941	12.592872434202242	0.07788922110778893
BP: cellular response to prostaglandin stimulus (GO:0071379)	2	0.35696	5.602868668758404	0.07905920940790592
BP: positive regulation of protein catabolic process (GO:0045732)	6	2.94194	2.0394705534443256	0.07956920430795691
BP: regulation of hemopoiesis (GO:1903706)	2	0.47775	4.1862899005756145	0.07980920190798092
BP: positive regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0035774)	2	0.47935	4.172316678835924	0.07982920170798292
BP: membrane raft organization (GO:0031579)	2	0.48189	4.150324762912698	0.08070919290807092
BP: positive regulation of long-term synaptic potentiation (GO:1900273)	2	0.47932	4.1725778185763165	0.08080919190808092
BP: glycolipid metabolic process (GO:0006664)	4	1.62118	2.4673386052134862	0.08107918920810792
BP: positive regulation of telomere capping (GO:1904355)	2	0.49523	4.038527552854229	0.08430915690843091
BP: nucleus localization (GO:0051647)	2	0.43523	4.595271465661834	0.08453915460845392
BP: negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	3	1.05195	2.851846570654499	0.08553914460855391
BP: regulation of mitochondrial membrane permeability (GO:0046902)	2	0.49868	4.0105879521937915	0.08558914410855892
BP: potassium ion export across plasma membrane (GO:0097623)	2	0.47763	4.187341666143249	0.08683913160868391
BP: phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	6	2.82827	2.121438193666093	0.08717912820871791
BP: cGMP-mediated signaling (GO:0019934)	2	0.47899	4.175452514666277	0.08759912400875991
BP: regulation of cation transmembrane transport (GO:1904062)	3	1.03619	2.895221918760073	0.08899911000889991
BP: regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178)	3	1.07815	2.782544172888745	0.09014909850901491
BP: response to prostaglandin E (GO:0034695)	2	0.41475	4.822182037371911	0.0903990960090399
BP: membrane repolarization during action potential (GO:0086011)	2	0.49563	4.03526824445655	0.09147908520914791
BP: nucleoside phosphate biosynthetic process (GO:1901293)	2	0.51876	3.8553473667977487	0.09179908200917991
BP: nucleoside diphosphate metabolic process (GO:0009132)	2	0.51993	3.8466716673398342	0.09251907480925191
BP: B cell receptor signaling pathway (GO:0050853)	3	1.10052	2.7259840802529713	0.0938090619093809
BP: apoptotic mitochondrial changes (GO:0008637)	3	1.09948	2.7285625932258886	0.0942190578094219
BP: neutrophil activation involved in immune response (GO:0002283)	21	14.50388	1.4478884270967491	0.09434905650943491
BP: proteolysis involved in cellular protein catabolic process (GO:0051603)	5	2.38308	2.0981251153968814	0.0955690443095569
BP: dopamine catabolic process (GO:0042420)	1	0.09823	10.180189351521939	0.0960390396096039
BP: zygotic determination of anterior/posterior axis, embryo (GO:0007354)	1	0.17775	5.625879043600563	0.0962890371096289
BP: thorax and anterior abdomen determination (GO:0007356)	1	0.17775	5.625879043600563	0.0962890371096289
BP: natural killer cell activation (GO:0030101)	3	1.17937	2.5437309750120827	0.0965390346096539
BP: immune response-inhibiting cell surface receptor signaling pathway (GO:0002767)	1	0.12009	8.327088017320342	0.0965390346096539
BP: regulation of T cell tolerance induction (GO:0002664)	1	0.1	10.0	0.0966090339096609
BP: respiratory electron transport chain (GO:0022904)	2	0.53447	3.7420248096244877	0.0966190338096619
BP: regulation of proteasomal protein catabolic process (GO:0061136)	4	1.68974	2.3672280942630226	0.09686903130968691
BP: regulation of postsynaptic density organization (GO:1905874)	1	0.0998	10.02004008016032	0.0969090309096909
BP: membrane raft distribution (GO:0031580)	1	0.10011	9.989012086704625	0.0970790292097079
BP: regulation of toll-like receptor 7 signaling pathway (GO:0034155)	1	0.10064	9.936406995230525	0.0973790262097379
BP: bone marrow development (GO:0048539)	1	0.10084	9.916699722332408	0.09759902400975991
BP: positive regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043378)	1	0.10081	9.919650828290845	0.0979190208097919
BP: positive regulation of CD8-positive, alpha-beta T cell activation (GO:2001187)	1	0.10081	9.919650828290845	0.0979190208097919
BP: protein deubiquitination involved in ubiquitin-dependent protein catabolic process (GO:0071947)	1	0.1017	9.83284169124877	0.0982490175098249
BP: positive regulation of insulin secretion (GO:0032024)	3	1.11646	2.687064471633556	0.0982890171098289
BP: apoptotic DNA fragmentation (GO:0006309)	2	0.5367	3.7264766163592324	0.0984090159098409
BP: regulation of long-term synaptic potentiation (GO:1900271)	3	1.11731	2.6850202719030527	0.0984790152098479
BP: monosaccharide transmembrane transport (GO:0015749)	2	0.53615	3.730299356523361	0.0985690143098569
BP: nucleotide biosynthetic process (GO:0009165)	2	0.54128	3.694945314809341	0.0986190138098619
BP: negative regulation of T cell mediated cytotoxicity (GO:0001915)	1	0.12249	8.163931749530574	0.0986990130098699
BP: vascular endothelial growth factor signaling pathway (GO:0038084)	2	0.54033	3.7014417115466474	0.0991490085099149
BP: nucleoside triphosphate metabolic process (GO:0009141)	2	0.49777	4.0179199228559375	0.1001589984100159
BP: positive regulation of protein metabolic process (GO:0051247)	7	3.89315	1.7980298729820325	0.1010089899101009
BP: regulation of potassium ion transmembrane transporter activity (GO:1901016)	3	1.13067	2.6532940645811776	0.1034389656103439
BP: membrane repolarization (GO:0086009)	2	0.53662	3.727032164287578	0.1042389576104239
BP: negative regulation of Rho protein signal transduction (GO:0035024)	2	0.55563	3.5995176646329394	0.10429895701042989
BP: negative regulation of DNA-dependent DNA replication (GO:2000104)	2	0.53709	3.723770690200898	0.1047989520104799
BP: positive regulation of focal adhesion assembly (GO:0051894)	2	0.5562	3.595828838547285	0.10516894831051689
BP: preassembly of GPI anchor in ER membrane (GO:0016254)	2	0.51631	3.873641804342352	0.10535894641053589
BP: regulation of cellular amine metabolic process (GO:0033238)	4	1.67654	2.385866129051499	0.1063389366106339
BP: regulation of protein kinase C signaling (GO:0090036)	2	0.57287	3.4911934644858347	0.1082289177108229
BP: positive regulation of glycoprotein biosynthetic process (GO:0010560)	2	0.53781	3.7187854446737694	0.10990890091099088
BP: catecholamine metabolic process (GO:0006584)	2	0.57526	3.4766888015853703	0.10994890051099489
BP: positive regulation of lymphocyte differentiation (GO:0045621)	2	0.58072	3.444000551040088	0.11201887981120189
BP: positive regulation of nitric-oxide synthase activity (GO:0051000)	2	0.58319	3.4294140846036454	0.11314886851131489
BP: action potential (GO:0001508)	4	1.63256	2.450139657960504	0.11351886481135189
BP: regulation of neutrophil degranulation (GO:0043313)	1	0.11885	8.413967185527977	0.11417885821141789
BP: phosphatidic acid biosynthetic process (GO:0006654)	4	1.70937	2.3400434078052146	0.11494885051149488
BP: regulation of heart growth (GO:0060420)	1	0.12002	8.331944675887351	0.11516884831151689
BP: nuclear migration (GO:0007097)	2	0.55672	3.592470182497485	0.11545884541154589
BP: tRNA thio-modification (GO:0034227)	1	0.12037	8.307717869901138	0.11547884521154789
BP: regulation of SNARE complex assembly (GO:0035542)	1	0.12058	8.29324929507381	0.11555884441155588
BP: regulation of delayed rectifier potassium channel activity (GO:1902259)	2	0.5789	3.4548281223009156	0.11699883001169989
BP: rRNA transcription (GO:0009303)	2	0.55853	3.5808282455732012	0.11719882801171988
BP: negative regulation of osteoclast differentiation (GO:0045671)	2	0.599	3.33889816360601	0.11743882561174389
BP: positive regulation of regulated secretory pathway (GO:1903307)	2	0.59642	3.3533416049092923	0.11794882051179488
BP: glycoprotein metabolic process (GO:0009100)	4	1.79234	2.2317194282334825	0.12117878821211787
BP: phosphatidic acid metabolic process (GO:0046473)	4	1.79011	2.2344995558932133	0.12480875191248088
BP: neutrophil degranulation (GO:0043312)	20	14.38466	1.3903700191732025	0.12537874621253786
BP: negative regulation of proteasomal protein catabolic process (GO:1901799)	3	1.25405	2.3922491128742873	0.12696873031269687
BP: regulation of voltage-gated calcium channel activity (GO:1901385)	2	0.6156	3.248862897985705	0.12791872081279188
BP: membrane repolarization during cardiac muscle cell action potential (GO:0086013)	2	0.61344	3.260302556077204	0.12836871631283686
BP: glucose transmembrane transport (GO:1904659)	2	0.61946	3.228618474154909	0.12957870421295786
BP: regulation of cellular carbohydrate metabolic process (GO:0010675)	2	0.63387	3.155221102118731	0.13025869741302587
BP: cellular modified amino acid biosynthetic process (GO:0042398)	2	0.59868	3.3406828355715907	0.13051869481305187
BP: catecholamine catabolic process (GO:0042424)	1	0.13757	7.269026677327906	0.13141868581314187
BP: ganglioside biosynthetic process (GO:0001574)	2	0.55626	3.5954409808362997	0.13200867991320087
BP: postsynaptic neurotransmitter receptor internalization (GO:0098884)	1	0.17889	5.590027391134217	0.13213867861321388
BP: postsynaptic endocytosis (GO:0140239)	1	0.17889	5.590027391134217	0.13213867861321388
BP: intracellular sequestering of iron ion (GO:0006880)	1	0.13931	7.178235589692054	0.13241867581324188
BP: response to catecholamine (GO:0071869)	1	0.13929	7.1792662789862876	0.13251867481325186
BP: regulation of transmembrane transport (GO:0034762)	3	1.15668	2.593630044610437	0.13254867451325486
BP: regulation of neutrophil activation (GO:1902563)	1	0.14003	7.141326858530316	0.13268867311326887
BP: protein K27-linked ubiquitination (GO:0044314)	1	0.13846	7.2223024700274445	0.13269867301326987
BP: regulation of intracellular cholesterol transport (GO:0032383)	1	0.13959	7.163836951070994	0.13273867261327388
BP: regulation of glucokinase activity (GO:0033131)	1	0.13866	7.211885186787826	0.13329866701332987
BP: regulation of triglyceride metabolic process (GO:0090207)	1	0.13994	7.145919679862798	0.13332866671333288
BP: negative regulation of protein targeting to membrane (GO:0090315)	1	0.14039	7.123014459719354	0.13338866611333886
BP: negative regulation of interleukin-13 production (GO:0032696)	1	0.14059	7.112881428266591	0.13353866461335387
BP: regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)	1	0.14107	7.088679379031686	0.13383866161338387
BP: negative regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043371)	1	0.14052	7.116424708226587	0.13386866131338687
BP: cellular carbohydrate catabolic process (GO:0044275)	1	0.14144	7.070135746606335	0.13404865951340486
BP: modulation of chemical synaptic transmission (GO:0050804)	7	4.30592	1.625668846611177	0.13624863751362487
BP: dopamine metabolic process (GO:0042417)	2	0.65677	3.0452060843217565	0.13772862271377287
BP: neutrophil mediated immunity (GO:0002446)	20	14.62185	1.3678159740388527	0.13807861921380787
BP: chaperone cofactor-dependent protein refolding (GO:0051085)	2	0.65733	3.0426117779501927	0.13889861101388987
BP: neuron cell-cell adhesion (GO:0007158)	2	0.6709	2.981070204203309	0.14169858301416985
BP: maintenance of gastrointestinal epithelium (GO:0030277)	2	0.61936	3.22913975716869	0.14215857841421586
BP: regulation of ventricular cardiac muscle cell membrane repolarization (GO:0060307)	2	0.65819	3.038636260046491	0.14233857661423385
BP: G protein-coupled glutamate receptor signaling pathway (GO:0007216)	2	0.67274	2.972916728602432	0.14245857541424586
BP: epithelial structure maintenance (GO:0010669)	2	0.62	3.2258064516129035	0.14255857441425585
BP: positive regulation of cell-substrate junction organization (GO:0150117)	2	0.6761	2.9581422866439873	0.14542854571454286
BP: cyclic-nucleotide-mediated signaling (GO:0019935)	3	1.29853	2.310304729193781	0.14566854331456686
BP: regulation of calcium ion transport (GO:0051924)	4	1.9769	2.0233699226061	0.14806851931480686
BP: cardiac muscle cell action potential (GO:0086001)	3	1.28753	2.3300427951193368	0.14824851751482485
BP: DNA catabolic process, exonucleolytic (GO:0000738)	1	0.15782	6.336332530731213	0.14836851631483686
BP: ventricular cardiac muscle cell action potential (GO:0086005)	2	0.67662	2.955868877656587	0.14898851011489886
BP: regulation of protein autoubiquitination (GO:1902498)	1	0.15732	6.356470887363336	0.14956850431495686
BP: regulation of cellular response to osmotic stress (GO:0106049)	1	0.15717	6.362537379907107	0.14961850381496186
BP: fructose transmembrane transport (GO:0015755)	1	0.1999	5.002501250625313	0.14966850331496684
BP: response to acetylcholine (GO:1905144)	1	0.15998	6.250781347668458	0.15003849961500385
BP: long-term synaptic depression (GO:0060292)	1	0.15919	6.281801620704818	0.15006849931500685
BP: diaphragm development (GO:0060539)	1	0.15978	6.2586055826761795	0.15009849901500985
BP: establishment of lymphocyte polarity (GO:0001767)	1	0.19903	5.024368185700648	0.15023849761502384
BP: glucose import in response to insulin stimulus (GO:0044381)	1	0.15893	6.292078273453722	0.15034849651503485
BP: pyrimidine nucleobase biosynthetic process (GO:0019856)	1	0.15965	6.263701847792046	0.15041849581504185
BP: regulation of nervous system process (GO:0031644)	2	0.69777	2.86627398713043	0.15053849461505384
BP: receptor-mediated virion attachment to host cell (GO:0046813)	1	0.16009	6.246486351427322	0.15064849351506485
BP: cyclic-GMP-AMP transmembrane import across plasma membrane (GO:0140361)	1	0.17955	5.569479253689781	0.15067849321506785
BP: insulin metabolic process (GO:1901142)	1	0.16029	6.238692370079232	0.15081849181508186
BP: purine nucleobase biosynthetic process (GO:0009113)	1	0.16019	6.242586928022972	0.15112848871511284
