label	observed	mean_expected	enrichment	p_value
GWAS: Blood trace element (Se levels)	4	0.36005	11.10956811553951	0.007789922100778992
GWAS: Lactate dehydrogenase levels	3	0.27678	10.838933448948623	0.007929920700792991
GWAS: Toenail selenium levels	8	1.05775	7.563223824155046	0.008809911900880991
GWAS: Plantar warts	1	0.02022	49.45598417408507	0.02022979770202298
GWAS: Conotruncal heart defects	2	0.25424	7.8665827564505975	0.02176978230217698
GWAS: Response to iloperidone treatment (QT prolongation)	2	0.25504	7.841907151819322	0.022569774302256977
GWAS: Blood and toenail selenium levels	6	0.45991	13.04603074514579	0.022909770902290977
GWAS: Sudden cardiac arrest	4	1.13122	3.53600537472817	0.023499765002349977
GWAS: Blood trace element (Zn levels)	3	0.51708	5.801810164771409	0.03115968840311597
GWAS: Bronchopulmonary dysplasia	4	1.21917	3.2809206263277475	0.03948960510394896
GWAS: Coagulation factor levels	4	0.17894	22.353861629596516	0.03975960240397596
GWAS: Lung cancer (smoking interaction)	3	0.24133	12.431110926946506	0.041119588804111956
GWAS: Low vWF levels	2	0.3376	5.924170616113744	0.041939580604193956
GWAS: Eating disorders (purging via substances)	5	0.67479	7.409712651343381	0.04381956180438196
GWAS: Myocardial infarction (early onset)	3	0.44008	6.816942374113797	0.048879511204887954
GWAS: Mean corpuscular hemoglobin concentration	8	3.06445	2.6105826494150666	0.05036949630503695
GWAS: Post bronchodilator FEV1/FVC ratio	13	7.31343	1.7775517096629077	0.05037949620503795
GWAS: Neuritic plaque	2	0.37537	5.328076298052588	0.05066949330506695
GWAS: Educational attainment	7	1.72314	4.06235128892603	0.05218947810521895
GWAS: Coronary artery disease (myocardial infarction, PTCA, CABG, angina or CIHD)	7	2.94883	2.3738228382104087	0.05247947520524795
GWAS: Rhegmatogenous retinal detachment	3	0.39702	7.55629439322956	0.05899941000589994
GWAS: Severe aortic features in Marfan syndrome	1	0.08172	12.236906510034263	0.06029939700602994
GWAS: Creatine kinase levels	4	1.33	3.007518796992481	0.06269937300626993
GWAS: Eating disorders	3	0.84532	3.5489518762125587	0.07084929150708492
GWAS: Adverse response to lamotrigine and phenytoin	2	0.45692	4.377133852753217	0.07144928550714492
GWAS: Bipolar disorder (inflammation and infection response interaction)	3	0.43359	6.918978758735211	0.07778922210777892
GWAS: Urinary metabolite ratios in chronic kidney disease	2	0.1591	12.57071024512885	0.07813921860781392
GWAS: Cerebrospinal fluid t-tau levels in mild cognitive impairment	3	0.5019	5.977286312014345	0.07856921430785692
GWAS: Axial length	7	1.80031	3.888219251128972	0.08738912610873892
GWAS: Urinary metabolite concentrations in chronic kidney disease	2	0.45269	4.418034416488105	0.0874091259087409
GWAS: Fasting insulin (dietary factor interaction)	2	0.51107	3.913358248380848	0.08836911630883691
GWAS: Serum total protein level	4	1.50196	2.66318676928813	0.09048909510904891
GWAS: Seborrheic dermatitis	2	0.38027	5.259420937754753	0.0957090429095709
GWAS: Cholangiocarcinoma in primary sclerosing cholangitis (time to event)	3	0.51179	5.861779245393619	0.09671903280967191
GWAS: Thyroid peroxidase antibody levels	1	0.1389	7.199424046076314	0.0967590324096759
GWAS: Body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease	1	0.09916	10.084711577248891	0.0968090319096809
GWAS: Amyotrophic lateral sclerosis (C9orf72 mutation interaction)	1	0.11984	8.344459279038718	0.0973490265097349
GWAS: Activated partial thromboplastin time	4	1.06423	3.758586019939299	0.1020889791102089
GWAS: Type 2 diabetes nephropathy	2	0.53547	3.735036509981885	0.1042689573104269
GWAS: Homeostasis model assessment of insulin resistance (dietary factor interaction)	2	0.56891	3.5154945421947232	0.10652893471065289
GWAS: Orofacial clefts	3	1.16148	2.582911457795227	0.1077689223107769
GWAS: Hippocampal atrophy	3	1.08202	2.772592003844661	0.10950890491095089
GWAS: Circulating fibroblast growth factor 23 levels	2	0.49801	4.015983614786852	0.11161888381116189
GWAS: Glaucoma (primary angle closure)	2	0.472	4.237288135593221	0.11189888101118989
GWAS: Contrast sensitivity	3	0.59081	5.077774580660449	0.11434885651143488
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (all topoisomerase inhibitors)	1	0.11781	8.48824378236143	0.11492885071149289
GWAS: Multiple sclerosis--Brain Glutamate Levels	1	0.12039	8.306337735692333	0.11567884321156788
GWAS: Visceral adipose tissue adjusted for BMI	4	1.7453	2.2918695926201798	0.13181868181318188
